FVS_ALPHA,SPCD,SYMBOL,COMMON_NAME,SCIENTIFIC_NAME,W_SPGRPCD,SPP_GRP_NAME,JENKINS_SPGRPCD,CLASS,SPP_GROUP
AF,19.0,ABLA,subalpine fir,Abies lasiocarpa ,12.0,TRUE-FIR,3.0,SOFTWOOD,TRUE_FIR
AS,746.0,POTR5,quaking aspen,Populus tremuloides ,44.0,COTTONWOOD-AND-ASPEN,6.0,HARDWOOD,OTHER_HARDWOOD
BM,312.0,ACMA3,bigleaf maple,Acer macrophyllum ,47.0,OTHER-WESTERN-HARDWOODS,7.0,HARDWOOD,MAPLE
BO,818.0,QUKE,California black oak,Quercus kelloggii ,46.0,OAK,9.0,HARDWOOD,OAK
CH,768.0,PREM,bitter cherry,Prunus emarginata  ,47.0,OTHER-WESTERN-HARDWOODS,8.0,HARDWOOD,OTHER_HARDWOOD
CW,747.0,POBAT,black cottonwood,Populus balsamifera ssp. trichocarpa,44.0,COTTONWOOD-AND-ASPEN,6.0,HARDWOOD,OTHER_HARDWOOD
DF,202.0,PSME,Douglas-fir,Pseudotsuga menziesii ,10.0,DOUGLAS-FIR,2.0,SOFTWOOD,DOUGLAS_FIR
DG,492.0,CONU4,Pacific dogwood,Cornus nuttallii  ,47.0,OTHER-WESTERN-HARDWOODS,8.0,HARDWOOD,OTHER_HARDWOOD
ES,93.0,PIEN,Engelmann spruce,Picea engelmannii,18.0,ENGELMANN-AND-OTHER-SPRUCES,5.0,SOFTWOOD,SPRUCE
GC,431.0,CHCHC4,giant chinquapin,Chrysolepis chrysophylla var. chrysophylla,47.0,OTHER-WESTERN-HARDWOODS,8.0,HARDWOOD,OTHER_HARDWOOD
GF,17.0,ABGR,grand fir,Abies grandis ,12.0,TRUE-FIR,3.0,SOFTWOOD,TRUE_FIR
IC,81.0,CADE27,incense cedar,Calocedrus decurrens  ,20.0,INCENSE-CEDAR,1.0,SOFTWOOD,CEDAR
JP,116.0,PIJE,Jeffrey pine,Pinus jeffreyi ,11.0,PONDEROSA-AND-JEFFREY-PINES,4.0,SOFTWOOD,PONDEROSA_PINE
KP,103.0,PIAT,knobcone pine,Pinus attenuata ,24.0,OTHER-WESTERN-SOFTWOODS,4.0,SOFTWOOD,OTHER_SOFTWOOD
LO,801.0,QUAG,California live oak,Quercus agrifolia ,46.0,OAK,9.0,HARDWOOD,OAK
LP,108.0,PICO,lodgepole pine,Pinus contorta  ,21.0,LODGEPOLE-PINE,4.0,SOFTWOOD,LODGEPOLE_PINE
MA,361.0,ARME,Pacific madrone,Arbutus menziesii ,47.0,OTHER-WESTERN-HARDWOODS,8.0,HARDWOOD,OTHER_HARDWOOD
MH,264.0,TSME,mountain hemlock,Tsuga mertensiana ,24.0,OTHER-WESTERN-SOFTWOODS,3.0,SOFTWOOD,HEMLOCK
NF,22.0,ABPR,noble fir,Abies procera,12.0,TRUE-FIR,3.0,SOFTWOOD,TRUE_FIR
OH,998.0,2TD,"tree, deciduous species",Other Hardwood,47.0,OTHER-WESTERN-HARDWOODS,8.0,HARDWOOD,OTHER_HARDWOOD
OS,,,,,,OTHER-WESTERN-SOFTWOODS,,SOFTWOOD,OTHER_HARDWOOD
OT,999.0,2TREE,Unknown species,Other,47.0,OTHER-WESTERN-HARDWOODS,8.0,HARDWOOD,OTHER_HARDWOOD
PC,41.0,CHLA,Port Orford cedar,Chamaecyparis lawsoniana ,24.0,OTHER-WESTERN-SOFTWOODS,1.0,SOFTWOOD,CEDAR
PL,760.0,PRUNU,plum/cherry species,Prunus ,47.0,OTHER-WESTERN-HARDWOODS,8.0,HARDWOOD,OTHER_HARDWOOD
PP,122.0,PIPO,ponderosa pine,Pinus ponderosa ,11.0,PONDEROSA-AND-JEFFREY-PINES,4.0,SOFTWOOD,PONDEROSA_PINE
PY,231.0,TABR2,Pacific yew,Taxus brevifolia ,24.0,OTHER-WESTERN-SOFTWOODS,3.0,SOFTWOOD,OTHER_SOFTWOOD
RA,351.0,ALRU2,red alder,Alnus rubra ,45.0,RED-ALDER,6.0,HARDWOOD,RED_ALDER
RC,242.0,THPL,western red cedar,Thuja plicata ,22.0,WESTERN-REDCEDAR,1.0,SOFTWOOD,CEDAR
RF,20.0,ABMA,California red fir,Abies magnifica,12.0,TRUE-FIR,3.0,SOFTWOOD,TRUE_FIR
SF,11.0,ABAM,Pacific silver fir,Abies amabilis ,12.0,TRUE-FIR,3.0,SOFTWOOD,TRUE_FIR
SP,117.0,PILA,sugar pine,Pinus lambertiana ,14.0,SUGAR-PINE,4.0,SOFTWOOD,OTHER_SOFTWOOD
SS,98.0,PISI,Sitka spruce,Picea sitchensis ,17.0,SITKA-SPRUCE,5.0,SOFTWOOD,SPRUCE
TO,631.0,LIDE3,tanoak,Lithocarpus densiflorus  ,47.0,OTHER-WESTERN-HARDWOODS,8.0,HARDWOOD,TANOAK
WA,352.0,ALRH2,white alder,Alnus rhombifolia ,47.0,OTHER-WESTERN-HARDWOODS,6.0,HARDWOOD,OTHER_HARDWOOD
WB,101.0,PIAL,whitebark pine,Pinus albicaulis ,24.0,OTHER-WESTERN-SOFTWOODS,4.0,SOFTWOOD,OTHER_SOFTWOOD
WF,15.0,ABCO,white fir,Abies concolor ,12.0,TRUE-FIR,3.0,SOFTWOOD,TRUE_FIR
WH,263.0,TSHE,western hemlock,Tsuga heterophylla ,13.0,WESTERN-HEMLOCK,3.0,SOFTWOOD,HEMLOCK
WI,920.0,SALIX,willow species,Salix ,47.0,OTHER-WESTERN-HARDWOODS,6.0,HARDWOOD,OTHER_HARDWOOD
WJ,64.0,JUOC,western juniper,Juniperus occidentalis ,24.0,OTHER-WESTERN-SOFTWOODS,1.0,SOFTWOOD,JUNIPER
WL,73.0,LAOC,western larch,Larix occidentalis ,19.0,WESTERN-LARCH,1.0,SOFTWOOD,LARCH
WO,815.0,QUGA4,Oregon white oak,Quercus garryana  ,46.0,OAK,9.0,HARDWOOD,OAK
WP,119.0,PIMO3,western white pine,Pinus monticola  ,15.0,WESTERN-WHITE-PINE,4.0,SOFTWOOD,OTHER_SOFTWOOD
YC,42.0,CANO9,Alaska cedar,Callitropsis nootkatensis,24.0,OTHER-WESTERN-SOFTWOODS,1.0,SOFTWOOD,CEDAR
